beta2,Ehfb,Ehfb normalized
-1.0,-1720.7198348964707,82.87139442213675
-0.99,-1722.560806860732,81.03042245787537
-0.98,-1724.3851243327263,79.20610498588121
-0.97,-1726.1671370109239,77.42409230768362
-0.96,-1727.887140935325,75.7040883832824
-0.95,-1729.5337560876605,74.05747323094693
-0.94,-1731.111749911778,72.47947940682957
-0.93,-1732.735481717219,70.85574760138843
-0.92,-1734.4559806630919,69.13524865551562
-0.91,-1736.142872915742,67.44835640286556
-0.9,-1737.813091719201,65.77813759940636
-0.89,-1739.474976802138,64.11625251646956
-0.88,-1741.1286557893686,62.46257352923885
-0.87,-1742.7662746649726,60.824954653634904
-0.86,-1744.4050089544417,59.18622036416582
-0.85,-1746.231278639753,57.359950678854375
-0.84,-1747.9538785740074,55.6373507446001
-0.83,-1749.5771106265502,54.01411869205731
-0.82,-1751.175874012183,52.415355306424544
-0.81,-1752.8399238051309,50.75130551347661
-0.8,-1754.5894487797464,49.00178053886111
-0.79,-1756.3376681157188,47.253561202888704
-0.78,-1757.915648134106,45.675581184501425
-0.77,-1759.2318220639008,44.35940725470664
-0.76,-1760.5824458083189,43.008783510288595
-0.75,-1761.6517855211391,41.93944379746836
-0.74,-1762.5298712374217,41.061358081185745
-0.73,-1763.3762552118055,40.21497410680195
-0.72,-1764.2772071532033,39.31402216540414
-0.71,-1765.2687272553428,38.322502063264665
-0.7,-1766.3572344639992,37.23399485460823
-0.69,-1767.530557533261,36.060671785346585
-0.68,-1768.7600544898455,34.83117482876196
-0.67,-1769.988317190543,33.60291212806442
-0.66,-1771.1361798383177,32.455049480289745
-0.65,-1772.2682812998924,31.322948018715124
-0.64,-1773.3282889331808,30.262940385426646
-0.63,-1774.2386137150947,29.35261560351273
-0.62,-1775.010282701152,28.580946617455538
-0.61,-1775.6427080454414,27.94852127316608
-0.6,-1776.2575545295128,27.33367478909463
-0.59,-1776.7959685925516,26.795260726055858
-0.58,-1777.1408187045458,26.45041061406164
-0.57,-1777.3355997570827,26.255629561524756
-0.56,-1777.6042083551838,25.987020963423674
-0.55,-1777.8580873239102,25.733141994697235
-0.54,-1778.1230356509404,25.468193667667038
-0.53,-1778.480848838185,25.110380480422464
-0.52,-1778.9994941432599,24.591735175347594
-0.51,-1779.6908788307305,23.90035048787695
-0.5,-1780.4694386089568,23.121790709650668
-0.49,-1781.2767346165983,22.314494702009142
-0.48,-1782.0735933750257,21.51763594358181
-0.47,-1782.8493477358356,20.74188158277184
-0.46,-1783.663202443092,19.92802687551557
-0.45,-1784.6197083561924,18.97152096241507
-0.44,-1785.577419401277,18.01380991733049
-0.43,-1786.5170182772363,17.0742110413712
-0.42,-1787.4120876341112,16.179141684496244
-0.41,-1788.256470823573,15.33475849503452
-0.4,-1789.026044794501,14.565184524106371
-0.39,-1789.7786639630672,13.8125653555403
-0.38,-1790.4213576524462,13.16987166616127
-0.37,-1790.9157381944037,12.675491124203745
-0.36,-1791.2740151212683,12.317214197339126
-0.35,-1791.5318705769923,12.059358741615142
-0.34,-1791.738739806283,11.852489512324382
-0.33,-1791.925167902408,11.666061416199454
-0.32,-1792.0907468364064,11.50048248220105
-0.31,-1792.2140622566285,11.37716706197898
-0.3,-1792.2751237544487,11.316105564158761
-0.29,-1792.2537806857729,11.337448632834594
-0.28,-1792.1689015041802,11.422327814427263
-0.27,-1791.9894246463773,11.601804672230173
-0.26,-1791.6703386251124,11.92089069349504
-0.25,-1791.230126211889,12.361103106718474
