beta2,Ehfb,Ehfb normalized
-1.0,-1741.1597650599722,64.67125084529721
-0.99,-1742.5133435093976,63.317672395871796
-0.98,-1743.898163996007,61.932851909262354
-0.97,-1745.2993001291366,60.53171577613284
-0.96,-1746.6867619097334,59.14425399553602
-0.95,-1748.0499684087017,57.78104749656768
-0.94,-1749.3859629441765,56.44505296109287
-0.93,-1750.69723354582,55.13378235944947
-0.92,-1751.989951940162,53.84106396510742
-0.91,-1753.2685960212993,52.56241988397005
-0.9,-1754.535780129353,51.29523577591635
-0.89,-1755.8113614962265,50.019654409042914
-0.88,-1757.0845442211448,48.74647168412457
-0.87,-1758.3409640878126,47.49005181745679
-0.86,-1759.5871055379057,46.243910367363696
-0.85,-1760.8009722933987,45.030043611870724
-0.84,-1761.968292564281,43.862723340988396
-0.83,-1763.0763349309336,42.75468097433577
-0.82,-1764.1487820519878,41.68223385328156
-0.81,-1765.257771740747,40.57324416452229
-0.8,-1766.458554247835,39.372461657434314
-0.79,-1767.731314978733,38.09970092653634
-0.78,-1769.038264084235,36.79275182103447
-0.77,-1770.2145253744782,35.616490530791225
-0.76,-1771.208200350763,34.62281555450636
-0.75,-1772.0160542469025,33.81496165836688
-0.74,-1772.7046386524935,33.12637725277591
-0.73,-1773.3936576350213,32.43735827024807
-0.72,-1774.1292495325945,31.70176637267491
-0.71,-1774.947680270389,30.883335634880495
-0.7,-1775.853594525429,29.977421379840507
-0.69,-1776.838609555584,28.992406349685325
-0.68,-1777.8798184538332,27.9511974514362
-0.67,-1778.9412253643823,26.889790540887134
-0.66,-1779.9741137965975,25.856902108671875
-0.65,-1780.9431074051909,24.887908500078538
-0.64,-1781.807599118109,24.023416787160386
-0.63,-1782.5668629422676,23.264152963001834
-0.62,-1783.2368173262212,22.594198579048225
-0.61,-1783.8360449374818,21.994970967787594
-0.6,-1784.3285249919177,21.50249091335172
-0.59,-1784.6851558882554,21.145860017014
-0.58,-1784.9065744398174,20.92444146545199
-0.57,-1785.0372983840389,20.79371752123052
-0.56,-1785.1101441193937,20.720871785875715
-0.55,-1785.1640238841292,20.66699202114023
-0.54,-1785.2605307947351,20.570485110534264
-0.53,-1785.4628956776583,20.368120227611143
-0.52,-1785.8307436622003,20.00027224306905
-0.51,-1786.3812399045755,19.449776000693873
-0.5,-1787.017209012553,18.813806892716457
-0.49,-1787.66856451517,18.162451390099477
-0.48,-1788.319192484032,17.511823421237295
-0.47,-1788.9904084080367,16.840607497232668
-0.46,-1789.6832617654013,16.147754139868084
-0.45,-1790.4126887738087,15.418327131460728
-0.44,-1791.1752809404984,14.655734964771
-0.43,-1791.9564492122868,13.874566692982626
-0.42,-1792.7391929781452,13.091822927124213
-0.41,-1793.4752256287727,12.355790276496691
-0.4,-1794.1416316746108,11.689384230658561
-0.39,-1794.7195578755966,11.111458029672804
-0.38,-1795.1935813920572,10.637434513212156
-0.37,-1795.5551140262182,10.275901879051162
-0.36,-1795.8315601011273,9.999455804142144
-0.35,-1796.0281033103006,9.802912594968802
-0.34,-1796.1835432057383,9.647472699531136
-0.33,-1796.321312393689,9.509703511580483
-0.32,-1796.4379009181835,9.393114987085937
-0.31,-1796.5168134184464,9.314202486822978
-0.3,-1796.5393948427613,9.291621062508057
-0.29,-1796.5072030558933,9.323812849376054
-0.28,-1796.3806926919547,9.450323213314732
-0.27,-1796.1386570792542,9.692358826015152
-0.26,-1795.7733648863077,10.057651018961678
-0.25,-1795.300648304447,10.530367600822501
-0.24,-1794.770009865315,11.061006039954464
-0.23,-1794.3204006759347,11.51061522933469
-0.22,-1794.2783873105664,11.552628594703037
-0.21,-1794.355059748641,11.4759561566284
-0.2,-1794.3697314570393,11.461284448230117
-0.19,-1794.3067455881478,11.52427031712159
-0.18,-1794.1743776612661,11.656638244003261
-0.17,-1793.9650343333544,11.865981571914972
-0.16,-1793.6938737229134,12.137142182356001
-0.15,-1793.3721189343155,12.458896970953901
-0.14,-1793.012116523258,12.818899382011296
-0.13,-1792.6267166964924,13.204299208777002
-0.12,-1792.2272037989906,13.603812106278838
-0.11,-1791.823323011844,14.007692893425428
-0.1,-1791.4287064628525,14.402309442416936
-0.09,-1791.0576850108632,14.773330894406172
-0.08,-1790.7072733427349,15.123742562534517
-0.07,-1790.3854600680286,15.445555837240818
-0.06,-1790.099499555015,15.731516350254424
-0.05,-1789.8551736877826,15.975842217486843
-0.04,-1789.6615294330618,16.16948647220761
-0.03,-1789.5171255210153,16.313890384254137
-0.02,-1789.421318583848,16.40969732142139
-0.01,-1789.3745947575055,16.456421147763876
0.0,-1789.3808582496104,16.45015765565904
0.01,-1789.450705975832,16.380309929437317
0.02,-1789.5713390655292,16.259676839740223
0.03,-1789.7439435912097,16.087072314059697
0.04,-1789.9702475981874,15.860768307082026
0.05,-1790.252483314061,15.578532591208386
0.06,-1790.5929316376432,15.238084267626164
0.07,-1790.993070292706,14.837945612563317
0.08,-1791.4587055360998,14.372310369169554
0.09,-1791.9843603858908,13.8466555193786
0.1,-1792.5696966111454,13.26131929412395
0.11,-1793.2143135554352,12.616702349834213
0.12,-1793.9227531084798,11.908262796789586
0.13,-1794.7018913505035,11.129124554765895
0.14,-1795.5471658545457,10.283850050723686
0.15,-1796.4654917745231,9.36552413074628
0.16,-1797.4394501009238,8.391565804345646
