beta2,Ehfb,Ehfb normalized
-1.0,-1745.4768665368929,62.03032644575478
-0.99,-1746.7768950329305,60.73029794971717
-0.98,-1748.095482116541,59.41171086610666
-0.97,-1749.4216192363333,58.08557374631437
-0.96,-1750.7418088965774,56.7653840860703
-0.95,-1752.045332807741,55.46186017490663
-0.94,-1753.3313634501264,54.17582953252122
-0.93,-1754.599840530003,52.90735245264477
-0.92,-1755.8556968436528,51.651496138994844
-0.91,-1757.1035544150334,50.40363856761428
-0.9,-1758.3547403681587,49.15245261448899
-0.89,-1759.6037208637954,47.90347211885228
-0.88,-1760.8496515767943,46.65754140585341
-0.87,-1762.0896581157053,45.41753486694233
-0.86,-1763.3151918489548,44.192001133692884
-0.85,-1764.511103371674,42.99608961097374
-0.84,-1765.6570706524303,41.850122330217346
-0.83,-1766.7369906075605,40.77020237508714
-0.82,-1767.7691858043927,39.738007178254975
-0.81,-1768.8286148221605,38.67857816048718
-0.8,-1769.9749482928532,37.532244689794425
-0.79,-1771.2028314767838,36.30436150586388
-0.78,-1772.4209635710247,35.08622941162298
-0.77,-1773.5249863585186,33.98220662412905
-0.76,-1774.4641622783113,33.04303070433639
-0.75,-1775.233455026636,32.2737379560117
-0.74,-1775.8789213332698,31.628271649377893
-0.73,-1776.4928484461393,31.01434453650836
-0.72,-1777.1528915736953,30.354301408952324
-0.71,-1777.9013936492017,29.60579933344593
-0.7,-1778.7434131959449,28.7637797867028
-0.69,-1779.6693240090958,27.83786897355185
-0.68,-1780.6601686916679,26.84702429097979
-0.67,-1781.684818076906,25.822374905741754
-0.66,-1782.6953983885574,24.811794594090316
-0.65,-1783.6396128702074,23.867580112440237
-0.64,-1784.4926176022695,23.01457538037812
-0.63,-1785.2568503640255,22.2503426186222
-0.62,-1785.9501732445162,21.55701973813143
-0.61,-1786.551750866956,20.955442115691767
-0.6,-1787.0369998103552,20.47019317229251
-0.59,-1787.3894868398845,20.117706142763154
-0.58,-1787.6079990125259,19.899193970121814
-0.57,-1787.7344083712442,19.772784611403495
-0.56,-1787.7743303350398,19.732862647607817
-0.55,-1787.7857402427048,19.721452739942833
-0.54,-1787.8251574194296,19.68203556321805
-0.53,-1787.9502495722916,19.556943410356098
-0.52,-1788.2239027212863,19.283290261361344
-0.51,-1788.6823664916915,18.824826490956184
-0.5,-1789.2546471666567,18.25254581599097
-0.49,-1789.861654306323,17.645538676324577
-0.48,-1790.4691675393371,17.038025443310516
-0.47,-1791.0848947470938,16.422298235553853
-0.46,-1791.727025179131,15.780167803516633
-0.45,-1792.406634568248,15.100558414399757
-0.44,-1793.1226938378177,14.384499144829988
-0.43,-1793.8567366628554,13.650456319792283
-0.42,-1794.5804555089233,12.926737473724415
-0.41,-1795.2653269094412,12.241866073206438
-0.4,-1795.8952269986883,11.611965983959408
-0.39,-1796.4456837518214,11.061509230826232
-0.38,-1796.9002251879665,10.606967794681168
-0.37,-1797.2493177918382,10.2578751908095
-0.36,-1797.4956720176583,10.011520964989359
-0.35,-1797.6616073314626,9.845585651185047
-0.34,-1797.7850059297048,9.7221870529429
-0.33,-1797.8932656014554,9.613927381192298
-0.32,-1797.9970626871639,9.510130295483805
-0.31,-1798.0729807672128,9.434212215434854
-0.3,-1798.1019089779677,9.40528400467997
-0.29,-1798.0648335477015,9.442359434946184
-0.28,-1797.940349278408,9.566843704239773
-0.27,-1797.7073147737442,9.799878208903465
-0.26,-1797.355032416265,10.15216056638269
-0.25,-1796.8934460328935,10.613746949754159
-0.24,-1796.3703943513892,11.136798631258443
-0.23,-1795.8569216738367,11.650271308810943
-0.22,-1795.6380578592598,11.869135123387878
-0.21,-1795.6769250263203,11.830267956327361
-0.2,-1795.7114751182967,11.79571786435099
-0.19,-1795.681497273571,11.825695709076626
-0.18,-1795.5697847057438,11.937408276903852
-0.17,-1795.3789550171766,12.128237965471044
-0.16,-1795.1192249646415,12.387968018006177
-0.15,-1794.803952276034,12.70324070661377
-0.14,-1794.4494874622542,13.057705520393483
-0.13,-1794.078047120034,13.429145862613723
-0.12,-1793.6910367740707,13.816156208577013
-0.11,-1793.3030690542985,14.20412392834919
-0.1,-1792.9223992949273,14.584793687720321
-0.09,-1792.5575666960392,14.949626286608463
-0.08,-1792.2155680263345,15.291624956313171
-0.07,-1791.9020846372155,15.6051083454322
-0.06,-1791.6228694013885,15.884323581259196
-0.05,-1791.3854839723072,16.12170901034051
-0.04,-1791.1857177729073,16.321475209740356
-0.03,-1791.0293933920584,16.477799590589257
-0.02,-1790.9150454629598,16.592147519687842
-0.01,-1790.8446475694132,16.66254541323451
0.0,-1790.8205686279905,16.68662435465717
0.01,-1790.8457239370073,16.661469045640388
0.02,-1790.9236636314579,16.58352935118978
0.03,-1791.0587099484092,16.448483034238507
0.04,-1791.2558063089537,16.251386673694014
0.05,-1791.5261478553703,15.981045127277412
0.06,-1791.870155217293,15.637037765354762
0.07,-1792.289545953201,15.217647029446653
0.08,-1792.7878089707817,14.719384011865941
0.09,-1793.36511552345,14.142077459197708
0.1,-1794.0177540827535,13.48943889989414
0.11,-1794.740341148684,12.766851833963756
0.12,-1795.5279248779948,11.979268104652874
0.13,-1796.3738801148334,11.133312867814311
0.14,-1797.269848120618,10.237344862029659
0.15,-1798.2059216196174,9.30127136303031
0.16,-1799.176368644586,8.330824338061575
0.17,-1800.161226621165,7.345966361482624
0.18,-1801.1449968038562,6.362196178791464
0.19,-1802.1108141765433,5.396378806104394
0.2,-1803.0411013160551,4.466091666592547
0.21,-1803.9216386700232,3.585554312624481
0.22,-1804.7368884316636,2.770304550984065
0.23,-1805.467172795771,2.0400201868767454
0.24,-1806.0990848204076,1.4081081622400689
0.25,-1806.6215702723475,0.8856227103001402
0.26,-1807.030406692905,0.47678628974267667
0.27,-1807.3185717075671,0.18862127508054982
0.28,-1807.478302645095,0.028890337552638812
0.29,-1807.5071929826477,0.0
0.3,-1807.4048934984708,0.10229948417691048
0.31,-1807.1808431838253,0.32634979882232074
0.32,-1806.8341475416032,0.6730454410444509
0.33,-1806.3762465347913,1.1309464478563314
0.34,-1805.8293842454475,1.6778087372001664
0.35,-1805.2340691222744,2.273123860373289
0.36,-1804.5983101600023,2.9088828226454098
0.37,-1803.9306650253102,3.5765279573374755
0.38,-1803.2409760042897,4.266216978357988
0.39,-1802.5325289866564,4.97466399599125
0.4,-1801.8108114747647,5.696381507882961
0.41,-1801.0861940543195,6.4209989283281175
0.42,-1800.370174774389,7.1370182082587235
0.43,-1799.6697513052895,7.837441677358129
0.44,-1798.9937435156762,8.513449466971451
0.45,-1798.3539250693948,9.153267913252876
0.46,-1797.7640845447158,9.743108437931824
0.47,-1797.2472945464028,10.259898436244839
0.48,-1796.9741036784783,10.53308930416938
0.49,-1796.8375687480793,10.669624234568346
0.5,-1796.7399959305817,10.767197052065967
0.51,-1796.667413454325,10.839779528322651
0.52,-1796.6157356319093,10.891457350738392
0.53,-1796.586877624106,10.920315358541757
0.54,-1796.5860892577277,10.92110372491993
0.55,-1796.6231676248083,10.884025357839391
0.56,-1796.7012709845271,10.805921998120539
0.57,-1796.8226060339744,10.684586948673314
0.58,-1796.9872037645723,10.519989218075352
0.59,-1797.1927585468397,10.314434435807925
0.6,-1797.4357590045472,10.071433978100458
0.61,-1797.7115272621759,9.795665720471789
0.62,-1798.0144891078392,9.492703874808512
0.63,-1798.3375766227362,9.169616359911515
0.64,-1798.6729329440006,8.834260038647017
0.65,-1799.014802488171,8.492390494476695
0.66,-1799.3546150769978,8.152577905649878
0.67,-1799.6859652123271,7.821227770320547
0.68,-1800.0062346130176,7.500958369630098
0.69,-1800.3160774481912,7.191115534456458
0.7,-1800.618531252538,6.888661730109561
0.71,-1800.9190763982504,6.588116584397312
0.72,-1801.232264402171,6.274928580476626
0.73,-1801.5565312737413,5.950661708906409
0.74,-1801.8874940947708,5.619698887876893
0.75,-1802.2116842391538,5.295508743493883
0.76,-1802.5149148832043,4.992278099443411
0.77,-1802.7864937335548,4.7206992490928315
0.78,-1803.020371333932,4.486821648715704
0.79,-1803.2188482182623,4.288344764385329
0.8,-1803.3743231408084,4.132869841839238
0.81,-1803.4869819387673,4.020211043880408
0.82,-1803.5581100889053,3.949082893742343
0.83,-1803.5899531914415,3.917239791206157
0.84,-1803.585483781574,3.921709201073554
0.85,-1803.5487723404108,3.958420642236888
0.86,-1803.490260548359,4.016932434288719
0.87,-1803.4177290679913,4.089463914656335
0.88,-1803.339532393542,4.167660589105708
0.89,-1803.2677264076592,4.239466574988455
0.9,-1803.2100231614959,4.297169821151783
0.91,-1803.1656167765914,4.341576206056288
0.92,-1803.1338145116636,4.3733784709841075
0.93,-1803.0976018351016,4.4095911475460525
0.94,-1803.0412305276382,4.465962455009503
0.95,-1802.9520081709748,4.555184811672916
0.96,-1802.8213301259948,4.685862856652875
0.97,-1802.647645180835,4.859547801812596
0.98,-1802.4379037548608,5.0692892277868395
0.99,-1802.210413714587,5.296779268060618
1.0,-1801.9719590735453,5.535233909102317
1.01,-1801.7374331917918,5.769759790855915
1.02,-1801.5220281093411,5.98516487330653
1.03,-1801.3409517169007,6.166241265746976
1.04,-1801.175552363134,6.331640619513564
1.05,-1801.0090578618106,6.498135120837105
1.06,-1800.829437567397,6.677755415250658
1.07,-1800.6303766869519,6.8768162956957894
1.08,-1800.4099291086077,7.097263874039982
1.09,-1800.1768139725345,7.33037901011312
